ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.09722,0.12963,0.11111,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.09722,0.12963,0.11111,2

ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.30841,0.36264,0.33333,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.30841,0.36264,0.33333,2

ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.05660,0.06667,0.06122,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.05660,0.06667,0.06122,2

ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.11810,0.13933,0.12784,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.11810,0.13933,0.12784,2

ROUGE-L+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.49097,0.97842,0.65385,1

ROUGE-1+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.38475,0.97309,0.55146,1

ROUGE-2+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.37138,0.96244,0.53595,1

ROUGE-SU4+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.36185,0.96256,0.52598,1

